Player,Type,Sold_for_lakh,Cost_in_dollars,Prev_team,Curr_team,status,retention,Base_price(In Lakhs)
Rahul Shukla,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Nuwan Thushara,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Mark Adnair,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Hilton Cartwright,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Gareth Delany,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Danushka Gunatilaka,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Anaru Kitchen,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Dhananjaya Lakshan,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Sisanda Magala,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Andile Phehlukwayo,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Seekkuge Prasanna,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Raymon Reifer,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Amit Ali,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Chaitanya Bishnoi,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Mayank Dagar,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Migael Pretorius,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shivam Sharma,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Pratyush Singh,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Sanvir Singh,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Dhrushant Soni,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
M Venkatesh,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Bandaru Ayyappa,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Gurnoor Singh Brar,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Akash Choudhary,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Mohit Jangra,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Aaqib Khan,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ruben Trumpelmann,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Brad Wheal,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Lalit Yadav,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Auqib Dar,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Chirag Gandhi,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Chris Green,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,40.0
Sijomon Joseph,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Anirudha Joshi,ALL-ROUNDER,0.0,0.0,Delhi Capitals,Unsold,Unsold,In Auction,20.0
Shubham Sharma,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shubham Singh,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Arpit Guleria,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Vipul Krishna,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Safvan Patel,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Chinntla Readdi,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Manish Reddy,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ravi Sharma,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shubham Singh,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Corbin Bosch,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Nathan McAndrew,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Diwesh Pathania,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shubham Ranjane,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Tom Rogers,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Johannes Smit,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Sagar Trivedi,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Harsh Tyagi,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
R. Vivek,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
R.Sonu Yadav,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
V. Athisayaraj,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ottneil Baartman,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
M.B. Darshan,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
V. Gowtham,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Khwezi Gumede,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Liam Guthrie,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Liam Hatcher,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Jay Bista,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Saurav Chuahan,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Tajinder Dhillon,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Dikshanshu Negi,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Abhishek Raut,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
K.V. Sasikanth,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Bharat Sharma,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Amit Yadav,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Manoj Bhandage,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Arun Chaprana,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ajay Dev Goud,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Divyang Hinganekar,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Azim Kazi,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Sujit Nayak,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Parth Sahani,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ashutosh Sharma,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Vivrant Sharma,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Kumar Kartikeya Singh,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ravi Chauhan,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shafiqullah Ghafari,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
M. Mohammed,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Pulkit Narang,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Pradosh Paul,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Pushpendra Singh Rathore,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Jason Sangha,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Purnank Tyagi,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Samarth Vyas,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Duan Jansen,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Dev Lakra,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ajay Mandal,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Lakhan Raja,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Girinath Reddy,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Siddhant Sharma,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Matthew Short,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Saurin Thakar,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Nyeem Young,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Yuvraj Chaudhary,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Khizar Dafedar,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Sahil Dhiwan,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Arjit Gupta,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Mickil Jaiswal,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ryan John,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
J. Kousik,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Jitender Pal,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Jonty Sidhu,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Yashovardhan Singh,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Beyers Swanepoel,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Pranshu Vijayran,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ishan Afridi,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Mohammed Afridi,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Prerit Agrawal,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Aidan Cahill,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Mark Deyal,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Nidhish Rajagopal,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Bavanaka Sandeep,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Safyaan Sharif,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Henry Shipley,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Maxwell Swaminathan,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Johan Van Dyk,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Dunith Wellalage,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Agnivesh Ayachi,ALL-ROUNDER,0.0,0.0,Punjab Kings,Unsold,Unsold,In Auction,20.0
Rohan Rana,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Nitish Reddy,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Hardik Tamore,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Mihir Hirwani,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Sairaj Patil,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Monu Singh,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Nivethan Radhakrishnan,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Lance Morris,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Aaron Hardie,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
